x,y,z
107.281946361,74.8504667213,838.810796022
107.148322815,74.8022791469,838.801376428
107.015498341,74.7540177833,838.791918126
106.883466576,74.705683325,838.782421157
106.752221207,74.6572764586,838.772885558
106.621755971,74.6087978629,838.763311369
106.492064657,74.5602482095,838.75369863
106.3631411,74.5116281624,838.744047381
106.234979185,74.462938378,838.734357662
106.107572849,74.4141795059,838.724629512
105.980916074,74.3653521881,838.714862973
105.855002894,74.3164570597,838.705058084
105.72982739,74.2674947486,838.695214886
105.60538369,74.218465876,838.68533342
105.481665973,74.1693710559,838.675413726
105.358668463,74.1202108959,838.665455847
105.236385434,74.0709859967,838.655459823
105.114811207,74.0216969522,838.645425696
104.993940148,73.97234435,838.635353506
104.873766673,73.9229287713,838.625243297
104.754285242,73.8734507905,838.615095111
104.635490363,73.8239109762,838.604908988
104.51737659,73.7743098903,838.594684972
104.399938522,73.7246480888,838.584423104
104.283170805,73.6749261216,838.574123428
104.167068128,73.6251445323,838.563785987
104.051625228,73.575303859,838.553410822
103.936836885,73.5254046334,838.542997978
103.822697924,73.4754473818,838.532547498
103.709203213,73.4254326245,838.522059425
103.596347666,73.3753608764,838.511533802
103.484126239,73.3252326464,838.500970674
103.372533931,73.2750484382,838.490370084
103.261565787,73.2248087499,838.479732077
103.15121689,73.1745140741,838.469056697
103.041482371,73.1241648981,838.458343987
102.932357398,73.0737617041,838.447593994
102.823837184,73.0233049688,838.436806761
102.715916982,72.972795164,838.425982333
102.608592087,72.9222327561,838.415120756
102.501857835,72.8716182068,838.404222074
